ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung
TEST-00728,CH224059463523,606,441.0,EGRID in AV gefunden,248.0,248.49496950111012,
TEST-00331,CH263446354501,152,391.0,EGRID in AV gefunden,218.0,217.74286000160532,
TEST-00491,CH658266971560,351,4313.0,EGRID in AV gefunden,21456.0,21455.924568497576,
TEST-00721,CH680546350442,701,567.0,EGRID in AV gefunden,10340.0,10339.547916994949,
TEST-00367,CH346506747884,96,1711.0,EGRID in AV gefunden,26815.0,26815.308707501306,
TEST-00856,CH200807050224,713,5231.0,EGRID in AV gefunden,423.0,422.728893002369,
TEST-00062,CH857481776979,647,26.0,EGRID in AV gefunden,920.0,920.0713840244565,
TEST-00075,CH675977151782,1272,2828.0,EGRID in AV gefunden,512.0,512.4981884936766,
TEST-00123,CH721842523005,5294,6089.0,EGRID in AV gefunden,311.0,311.10402350186587,
TEST-00720,CH118673317734,599,180.0,EGRID in AV gefunden,97.0,97.14208600056594,
TEST-00894,CH619420107989,198,2254.0,EGRID in AV gefunden,5150.0,5147.008764992319,
TEST-00288,CH267708544595,4169,2903.0,EGRID in AV gefunden,5635.0,5635.499128503923,
TEST-00780,CH576399526539,1943,6636.0,EGRID in AV gefunden,9612.0,9612.223481007824,
TEST-00585,CH696580716302,3451,6604.0,EGRID in AV gefunden,200.0,200.3412499977241,
TEST-00789,CH467795528583,5517,121.0,EGRID in AV gefunden,7341.0,7341.087719512619,
TEST-00190,CH565252305147,1959,6218.0,EGRID in AV gefunden,135.0,134.8442084973815,
TEST-00499,CH443306988757,813,4264.0,EGRID in AV gefunden,4899.0,4899.198039493898,
TEST-00216,CH915186687791,7569,58.0,EGRID in AV gefunden,554.0,553.8735069997136,
TEST-00251,CH387759697742,2410,40.0,EGRID in AV gefunden,929.0,928.5627519981407,
TEST-00347,CH433279064025,298,2534.0,EGRID in AV gefunden,94456.0,94455.63472004849,
TEST-00279,CH773077405242,2447,6246.0,EGRID in AV gefunden,750.0,750.2340849967322,
TEST-00377,CH873977680717,1032,2768.0,EGRID in AV gefunden,1097.0,1097.2208269979183,
TEST-00489,CH227284063326,1711,4254.0,EGRID in AV gefunden,518.0,517.8805355026512,
TEST-00831,CH806930445230,14761,6037.0,EGRID in AV gefunden,359.0,359.26984600030806,
TEST-00864,CH793287350688,3659,2493.0,EGRID in AV gefunden,255.0,254.8543655044549,
TEST-00669,CH675978941730,2697,2829.0,EGRID in AV gefunden,2258.0,2257.5030734976253,
TEST-00604,CH954452143083,2166,6246.0,EGRID in AV gefunden,589.0,589.1495744930876,
TEST-00286,CH827795831257,982.A,2782.0,EGRID in AV gefunden (2 Einträge zusammengeführt),76.0,1730.3265679927858,
TEST-00369,CH188647227719,1857,3276.0,EGRID in AV gefunden,38836.0,38836.0710030137,
TEST-00133,CH768502075192,365,5096.0,EGRID in AV gefunden,402.0,405.0635304985299,
TEST-00149,CH850661770822,829,2868.0,EGRID in AV gefunden,1163.0,1162.5340159999505,
TEST-00139,CH230878548576,8642,2939.0,EGRID in AV gefunden,335.0,335.33844500262865,
TEST-00578,CH907854980801,6508,2939.0,EGRID in AV gefunden,697.0,696.5935865022132,
TEST-00444,CH855846973524,4930,355.0,EGRID in AV gefunden,832.0,831.6479370030922,
TEST-00890,CH295272693018,4409,6021.0,EGRID in AV gefunden,108.0,108.40413149868024,
TEST-00664,CH713589468738,446,351.0,EGRID in AV gefunden,605.0,604.5434075040035,
TEST-00143,CH116946227883,4,1630.0,EGRID in AV gefunden,7828.0,7827.775919992842,
TEST-00185,CH973580334633,95,543.0,EGRID in AV gefunden,6991.0,6990.690089488293,
TEST-00446,CH694602443565,1122,703.0,EGRID in AV gefunden,526.0,526.4086209966104,
TEST-00228,CH452420770841,TO5658,230.0,EGRID in AV gefunden,495.0,495.0617655043815,
TEST-00772,CH143052562514,6607,6022.0,EGRID in AV gefunden,1407.0,1406.9072440028663,
